Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
81.340	4.2631	502.79	0.0019889	12.691	12.835	47.072	46.932	99.432	883.60	0.24597	73.261	0.33962	0.0083595	35.041	0.028538	25.493	27.565	88.623	47.021	93.298	385.64	13.465	12.088	0.044934
82.340	4.3558	500.58	0.0019977	12.785	12.933	47.337	46.952	100.12	874.63	0.25785	72.480	0.33728	0.0081618	35.924	0.027837	25.477	27.542	88.434	47.252	94.715	384.85	13.322	12.144	0.045456
83.340	4.4499	498.36	0.0020066	12.879	13.031	47.604	46.974	100.83	865.61	0.27016	71.701	0.33495	0.0079649	36.829	0.027152	25.461	27.518	88.244	47.485	96.184	384.05	13.181	12.200	0.045993
84.340	4.5456	496.10	0.0020157	12.973	13.129	47.870	46.997	101.57	856.53	0.28290	70.926	0.33261	0.0077688	37.758	0.026485	25.444	27.494	88.052	47.720	97.710	383.22	13.041	12.258	0.046545
85.340	4.6428	493.83	0.0020250	13.068	13.228	48.138	47.022	102.34	847.41	0.29610	70.153	0.33027	0.0075735	38.710	0.025833	25.426	27.468	87.860	47.957	99.295	382.38	12.902	12.317	0.047115
86.340	4.7415	491.52	0.0020345	13.164	13.328	48.406	47.049	103.15	838.23	0.30979	69.384	0.32794	0.0073792	39.688	0.025197	25.407	27.441	87.666	48.197	100.94	381.51	12.764	12.377	0.047703
87.340	4.8418	489.19	0.0020442	13.260	13.428	48.675	47.078	103.99	829.00	0.32399	68.617	0.32560	0.0071857	40.691	0.024575	25.387	27.414	87.470	48.439	102.66	380.62	12.628	12.438	0.048310
88.340	4.9437	486.83	0.0020541	13.356	13.529	48.944	47.109	104.87	819.71	0.33873	67.853	0.32326	0.0069931	41.721	0.023969	25.367	27.385	87.273	48.684	104.44	379.71	12.493	12.501	0.048936
89.340	5.0472	484.44	0.0020642	13.453	13.631	49.215	47.142	105.79	810.37	0.35404	67.091	0.32093	0.0068015	42.779	0.023376	25.345	27.354	87.075	48.931	106.31	378.77	12.360	12.565	0.049584
90.340	5.1523	482.02	0.0020746	13.551	13.733	49.486	47.177	106.75	800.96	0.36995	66.331	0.31859	0.0066107	43.866	0.022797	25.323	27.323	86.874	49.181	108.25	377.81	12.227	12.631	0.050255
