Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-65.000	0.0067146	649.60	0.0015394	3.5670	3.5676	24.597	80.407	116.06	1339.5	-0.52384	476.59	0.12563	0.020467	0.22678	4.4096	25.575	27.296	138.59	65.624	74.169	182.41	67.567	5.2832	0.0086657
-64.000	0.0071720	648.60	0.0015418	3.6831	3.6838	25.154	80.559	116.27	1333.5	-0.52177	468.87	0.12521	0.020348	0.24114	4.1470	25.639	27.368	138.39	65.868	74.425	182.77	66.540	5.3081	0.0087451
-63.000	0.0076550	647.60	0.0015442	3.7995	3.8002	25.709	80.712	116.49	1327.5	-0.51970	461.33	0.12478	0.020229	0.25623	3.9028	25.704	27.440	138.20	66.113	74.682	183.13	65.536	5.3330	0.0088246
-62.000	0.0081646	646.59	0.0015466	3.9161	3.9168	26.262	80.866	116.70	1321.5	-0.51760	453.97	0.12436	0.020110	0.27208	3.6754	25.768	27.513	138.01	66.359	74.941	183.48	64.555	5.3578	0.0089044
-61.000	0.0087020	645.59	0.0015490	4.0329	4.0336	26.814	81.021	116.92	1315.4	-0.51550	446.79	0.12393	0.019991	0.28871	3.4636	25.833	27.585	137.83	66.606	75.200	183.83	63.595	5.3826	0.0089844
-60.000	0.0092683	644.58	0.0015514	4.1499	4.1507	27.364	81.177	117.13	1309.4	-0.51337	439.76	0.12351	0.019872	0.30616	3.2662	25.898	27.658	137.65	66.853	75.461	184.18	62.656	5.4073	0.0090647
-59.000	0.0098648	643.58	0.0015538	4.2671	4.2680	27.913	81.333	117.35	1303.5	-0.51123	432.90	0.12308	0.019753	0.32446	3.0821	25.963	27.731	137.47	67.101	75.723	184.53	61.737	5.4321	0.0091451
-58.000	0.010493	642.57	0.0015563	4.3845	4.3855	28.460	81.491	117.57	1297.5	-0.50908	426.20	0.12266	0.019634	0.34362	2.9102	26.029	27.803	137.30	67.349	75.986	184.87	60.839	5.4568	0.0092258
-57.000	0.011153	641.56	0.0015587	4.5022	4.5032	29.006	81.650	117.79	1291.5	-0.50691	419.64	0.12223	0.019515	0.36370	2.7496	26.094	27.877	137.14	67.599	76.250	185.21	59.960	5.4815	0.0093067
-56.000	0.011847	640.54	0.0015612	4.6201	4.6211	29.550	81.809	118.01	1285.5	-0.50472	413.23	0.12181	0.019396	0.38470	2.5994	26.160	27.950	136.98	67.849	76.516	185.54	59.100	5.5062	0.0093878
-55.000	0.012576	639.53	0.0015636	4.7382	4.7393	30.092	81.970	118.23	1279.6	-0.50251	406.97	0.12138	0.019277	0.40667	2.4590	26.226	28.023	136.83	68.100	76.783	185.88	58.258	5.5308	0.0094691
-54.000	0.013342	638.52	0.0015661	4.8565	4.8577	30.633	82.131	118.45	1273.6	-0.50029	400.83	0.12095	0.019159	0.42964	2.3275	26.292	28.097	136.67	68.352	77.052	186.20	57.434	5.5554	0.0095506
-53.000	0.014146	637.50	0.0015686	4.9750	4.9763	31.173	82.293	118.68	1267.7	-0.49805	394.84	0.12053	0.019040	0.45364	2.2044	26.358	28.170	136.53	68.604	77.321	186.53	56.628	5.5800	0.0096324
-52.000	0.014988	636.48	0.0015711	5.0938	5.0951	31.711	82.457	118.90	1261.7	-0.49580	388.97	0.12010	0.018921	0.47870	2.0890	26.424	28.244	136.39	68.858	77.592	186.85	55.839	5.6046	0.0097144
-51.000	0.015872	635.46	0.0015737	5.2128	5.2142	32.248	82.621	119.13	1255.8	-0.49352	383.23	0.11968	0.018803	0.50486	1.9808	26.491	28.318	136.25	69.112	77.865	187.17	55.066	5.6291	0.0097966
-50.000	0.016797	634.44	0.0015762	5.3320	5.3335	32.784	82.786	119.36	1249.9	-0.49123	377.61	0.11925	0.018684	0.53214	1.8792	26.557	28.392	136.12	69.367	78.139	187.49	54.310	5.6536	0.0098790
-49.000	0.017766	633.41	0.0015787	5.4514	5.4530	33.318	82.952	119.59	1244.0	-0.48892	372.11	0.11883	0.018566	0.56060	1.7838	26.624	28.466	135.99	69.623	78.414	187.80	53.570	5.6781	0.0099616
-48.000	0.018780	632.39	0.0015813	5.5711	5.5728	33.850	83.119	119.82	1238.1	-0.48659	366.72	0.11840	0.018447	0.59025	1.6942	26.691	28.541	135.86	69.880	78.691	188.11	52.844	5.7026	0.010044
-47.000	0.019840	631.36	0.0015839	5.6910	5.6928	34.382	83.287	120.05	1232.2	-0.48424	361.44	0.11797	0.018329	0.62114	1.6099	26.758	28.615	135.74	70.137	78.969	188.42	52.134	5.7270	0.010127
-46.000	0.020949	630.33	0.0015865	5.8111	5.8130	34.912	83.456	120.28	1226.3	-0.48187	356.27	0.11755	0.018210	0.65331	1.5307	26.826	28.690	135.62	70.396	79.249	188.72	51.439	5.7514	0.010211
-45.000	0.022107	629.30	0.0015891	5.9315	5.9335	35.441	83.626	120.52	1220.4	-0.47948	351.21	0.11712	0.018092	0.68678	1.4561	26.893	28.764	135.51	70.655	79.531	189.01	50.758	5.7758	0.010294
-44.000	0.023317	628.27	0.0015917	6.0520	6.0542	35.968	83.797	120.75	1214.5	-0.47707	346.25	0.11670	0.017974	0.72160	1.3858	26.961	28.839	135.40	70.915	79.814	189.31	50.091	5.8002	0.010378
-43.000	0.024579	627.24	0.0015943	6.1729	6.1751	36.494	83.969	120.99	1208.6	-0.47464	341.39	0.11628	0.017856	0.75781	1.3196	27.029	28.914	135.29	71.176	80.098	189.60	49.437	5.8246	0.010462
-42.000	0.025897	626.20	0.0015969	6.2939	6.2963	37.019	84.142	121.23	1202.8	-0.47219	336.63	0.11585	0.017737	0.79544	1.2572	27.097	28.989	135.19	71.438	80.384	189.89	48.797	5.8489	0.010546
-41.000	0.027271	625.16	0.0015996	6.4152	6.4178	37.543	84.316	121.47	1196.9	-0.46972	331.96	0.11543	0.017619	0.83453	1.1983	27.165	29.064	135.09	71.701	80.672	190.17	48.169	5.8732	0.010630
-40.000	0.028702	624.12	0.0016022	6.5368	6.5394	38.065	84.491	121.71	1191.1	-0.46722	327.39	0.11501	0.017501	0.87513	1.1427	27.233	29.139	135.00	71.965	80.961	190.45	47.555	5.8975	0.010715
-39.000	0.030194	623.08	0.0016049	6.6585	6.6614	38.586	84.667	121.95	1185.2	-0.46471	322.90	0.11458	0.017383	0.91727	1.0902	27.302	29.215	134.91	72.230	81.252	190.72	46.952	5.9218	0.010800
-38.000	0.031748	622.04	0.0016076	6.7805	6.7835	39.106	84.843	122.20	1179.4	-0.46217	318.50	0.11416	0.017265	0.96099	1.0406	27.370	29.290	134.82	72.495	81.545	191.00	46.362	5.9460	0.010885
-37.000	0.033365	620.99	0.0016103	6.9028	6.9059	39.625	85.021	122.44	1173.5	-0.45961	314.18	0.11374	0.017147	1.0063	0.99370	27.439	29.366	134.73	72.762	81.839	191.26	45.783	5.9703	0.010970
-36.000	0.035047	619.94	0.0016130	7.0253	7.0286	40.143	85.200	122.69	1167.7	-0.45702	309.95	0.11332	0.017029	1.0534	0.94934	27.508	29.442	134.65	73.029	82.135	191.53	45.216	5.9945	0.011055
-35.000	0.036797	618.89	0.0016158	7.1480	7.1515	40.659	85.379	122.94	1161.9	-0.45442	305.80	0.11290	0.016911	1.1021	0.90737	27.577	29.518	134.57	73.297	82.433	191.79	44.661	6.0187	0.011141
-34.000	0.038616	617.84	0.0016185	7.2710	7.2747	41.175	85.560	123.19	1156.1	-0.45179	301.72	0.11247	0.016794	1.1526	0.86763	27.646	29.593	134.50	73.567	82.732	192.04	44.116	6.0429	0.011227
-33.000	0.040506	616.79	0.0016213	7.3943	7.3981	41.689	85.742	123.44	1150.3	-0.44913	297.73	0.11205	0.016676	1.2048	0.82999	27.715	29.669	134.43	73.837	83.033	192.29	43.582	6.0671	0.011313
-32.000	0.042469	615.73	0.0016241	7.5177	7.5218	42.202	85.924	123.69	1144.5	-0.44645	293.80	0.11163	0.016558	1.2590	0.79431	27.785	29.746	134.36	74.108	83.336	192.54	43.058	6.0912	0.011400
