Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-17.000	0.27496	1337.1	0.00074788	15.584	15.601	80.128	57.214	97.593	739.59	-0.25793	260.69	0.10230	0.014422	12.021	0.083188	32.465	34.443	153.68	46.340	58.352	163.04	36.774	10.660	0.0083151
-16.000	0.28542	1334.0	0.00074965	15.681	15.699	80.507	57.254	97.772	734.91	-0.25376	257.77	0.10184	0.014265	12.455	0.080290	32.497	34.479	153.54	46.517	58.643	163.10	36.376	10.701	0.0083722
-15.000	0.29620	1330.8	0.00075144	15.778	15.797	80.886	57.294	97.954	730.23	-0.24951	254.89	0.10138	0.014108	12.901	0.077514	32.529	34.515	153.39	46.696	58.937	163.15	35.985	10.741	0.0084297
-14.000	0.30727	1327.6	0.00075324	15.876	15.896	81.263	57.336	98.139	725.56	-0.24518	252.04	0.10092	0.013952	13.359	0.074854	32.562	34.550	153.25	46.875	59.236	163.20	35.601	10.782	0.0084874
-13.000	0.31867	1324.4	0.00075506	15.973	15.994	81.639	57.379	98.328	720.88	-0.24076	249.24	0.10047	0.013796	13.830	0.072305	32.593	34.586	153.10	47.055	59.539	163.25	35.224	10.823	0.0085455
-12.000	0.33038	1321.2	0.00075690	16.071	16.093	82.015	57.423	98.520	716.19	-0.23627	246.48	0.10001	0.013640	14.314	0.069860	32.625	34.621	152.96	47.236	59.846	163.29	34.854	10.864	0.0086040
-11.000	0.34242	1318.0	0.00075875	16.169	16.192	82.390	57.468	98.716	711.51	-0.23168	243.75	0.099550	0.013485	14.811	0.067515	32.657	34.656	152.82	47.418	60.158	163.32	34.490	10.905	0.0086628
-10.000	0.35478	1314.7	0.00076062	16.268	16.291	82.764	57.513	98.914	706.83	-0.22701	241.06	0.099092	0.013330	15.322	0.065266	32.688	34.691	152.69	47.601	60.474	163.35	34.133	10.946	0.0087219
-9.0000	0.36749	1311.5	0.00076251	16.366	16.390	83.138	57.560	99.117	702.14	-0.22225	238.41	0.098635	0.013175	15.846	0.063106	32.720	34.725	152.55	47.785	60.794	163.37	33.783	10.987	0.0087814
-8.0000	0.38054	1308.2	0.00076441	16.465	16.490	83.510	57.609	99.322	697.45	-0.21740	235.79	0.098178	0.013020	16.384	0.061033	32.751	34.759	152.41	47.970	61.119	163.39	33.438	11.029	0.0088412
-7.0000	0.39393	1304.9	0.00076634	16.563	16.589	83.882	57.658	99.532	692.76	-0.21245	233.20	0.097721	0.012866	16.937	0.059042	32.782	34.793	152.28	48.156	61.448	163.40	33.100	11.070	0.0089014
-6.0000	0.40769	1301.6	0.00076828	16.662	16.689	84.254	57.708	99.744	688.07	-0.20741	230.65	0.097264	0.012712	17.504	0.057129	32.813	34.827	152.15	48.343	61.783	163.40	32.768	11.112	0.0089620
-5.0000	0.42180	1298.3	0.00077024	16.761	16.790	84.624	57.759	99.961	683.38	-0.20226	228.13	0.096808	0.012559	18.086	0.055291	32.844	34.860	152.02	48.531	62.122	163.40	32.441	11.153	0.0090229
-4.0000	0.43628	1295.0	0.00077222	16.861	16.890	84.994	57.811	100.18	678.68	-0.19702	225.64	0.096351	0.012405	18.683	0.053524	32.874	34.894	151.89	48.720	62.466	163.39	32.121	11.195	0.0090842
-3.0000	0.45113	1291.6	0.00077421	16.960	16.990	85.364	57.864	100.41	673.98	-0.19167	223.18	0.095895	0.012252	19.296	0.051825	32.905	34.927	151.76	48.909	62.816	163.38	31.806	11.237	0.0091459
-2.0000	0.46636	1288.3	0.00077623	17.060	17.091	85.732	57.918	100.63	669.29	-0.18621	220.75	0.095439	0.012100	19.924	0.050191	32.935	34.959	151.63	49.100	63.171	163.36	31.496	11.279	0.0092080
-1.0000	0.48198	1284.9	0.00077827	17.160	17.192	86.101	57.973	100.86	664.58	-0.18065	218.35	0.094982	0.011948	20.569	0.048618	32.965	34.992	151.50	49.292	63.531	163.34	31.192	11.321	0.0092705
